PartNumber,lengthY,widthX,height,padY,padX,landingY,landingGap,landingX
BMRA00050520,5.4,5.7,1.8,2.0,1.5,2.5,4.1,1.9
BMRA00050530,5.4,5.7,3.0,2.0,1.5,2.5,4.1,1.9
BMRB00060612,6.6,7.3,1.2 ,2.9,1.6,3.5,6.05,2.35
BMRx00060615,6.6,7.3,1.3,2.9,1.6,3.5,6.05,2.35
BMRB00060618,6.6,7.3,1.6,2.9,1.6,3.5,6.05,2.35
BMRB00060624,6.6,7.3,2.4,2.9,1.6,3.5,6.05,2.35
BMRx00060630,6.6,7.3,3.0,2.9,1.6,3.5,6.05,2.35
BMRB00060650,6.6,7.3,5.0,2.9,1.6,3.5,6.05,2.35
BMRG00101030,10.1,11.6,3.0,3,2.5,4,9.5,3.5
BMRF00101040,10.1,11.6,4.0,3,2.5,4,9.5,3.5
BMRF00131350,12.6,13.8,5.0,3.7,2.7,5,10.5,4
BMRF00131360,12.6,13.8,5.8,5.0,2.0,5.5,10.5,4
BMRG00131360,12.6,13.8,6.0 ,5.0,2.0,5.5,10.5,4
BMRF00171770,17.15,17.15,6.8,12,2.5,12.8,14.7,3.5