PartNumber,lengthY,widthX,height,padX,padY,landingX,landingSpacing,landingY
MWSA0412S,4.2,4.4,1.0,0.8,2.0,1.5,2.2,2.5
MWSA0402S,4.2,4.4,1.8,0.8,2.0,1.5,2.2,2.5
MWSA0518S,5.2,5.4,1.6,1.2,2.2,1.9,2.2,2.5
MWSA0503S,5.2,5.4,2.8,1.2,2.2,1.9,2.2,2.5
MWSA0615S,6.6,7.0,1.3,1.6,3.0,2.35,3.7,3.5
MWSA0618S,6.6,7.0,1.6,1.6,3.0,2.35,3.7,3.5
MWSA0602S,6.6,7.0,1.8,1.6,3.0,2.35,3.7,3.5
MWSA0624S,6.6,7.0,2.2,1.6,3.0,2.35,3.7,3.5
MWSA0603S,6.6,7.0,2.8,1.6,3.0,2.35,3.7,3.5
MWSA0604S,6.6,7.0,3.8,1.6,3.0,2.35,3.7,3.5
MWSA0605S,6.6,7.0,4.8,1.6,3.0,2.35,3.7,3.5
MWSA0804S,8.8,8.2,3.8,1.4,5.0,2.75,4,5.5
MWSA1003S,10.0,11.5,2.8,2.0,3.0,4.1,5.4,4.1
MWSA1004S,10.0,11.0,3.8,2.0,3.0,4.1,5.4,4.1
MWSA1005S,10.0,11.5,4.8,2.0,3.0,4.1,5.4,4.1
MWSA1204S-R22,12.8,13.45,4.0,2.0,3.85,3.25,8,5.5
MWSA1204S-R47,12.8,13.45,4.0,2.0,3.85,3.25,8,5.5
MWSA1204S-R68,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-R82,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-1R0,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-1R5,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-2R2,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-3R3,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-4R7,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-6R8,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-100,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-150,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1204S-220,12.8,13.45,4.0,2.0,5,3.25,8,5.5
MWSA1205S-R22,12.6,13.45,4.8,2.0,3.85,3.25,8,5.5
MWSA1205S-R36,12.6,13.45,4.8,2.0,3.85,3.25,8,5.5
MWSA1205S-R50,12.6,13.45,4.8,2.0,3.85,3.25,8,5.5
MWSA1205S-R68,12.6,13.45,4.8,2.0,3.85,3.25,8,5.5
MWSA1205S-R82,12.6,13.45,4.8,2.0,3.85,3.25,8,5.5
MWSA1205S-1R0,12.6,13.45,4.8,2.0,3.85,3.25,8,5.5
MWSA1205S-1R5,12.6,13.45,4.8,2.0,3.85,3.25,8,5.5
MWSA1205S-2R2,12.6,13.45,4.8,2.0,3.85,3.25,8,5.5
MWSA1205S-3R3,12.6,13.45,4.8,2.0,5,3.25,8,5.5
MWSA1205S-4R7,12.6,13.45,4.8,2.0,5,3.25,8,5.5
MWSA1205S-6R8,12.6,13.45,4.8,2.0,5,3.25,8,5.5
MWSA1205S-100,12.6,13.45,4.8,2.0,5,3.25,8,5.5
MWSA1205S-150,12.6,13.45,4.8,2.0,5,3.25,8,5.5
MWSA1205S-220,12.6,13.45,4.8,2.0,5,3.25,8,5.5
MWSA1205S-330,12.6,13.45,4.8,2.0,5,3.25,8,5.5
MWSA1205S-470,12.6,13.45,4.8,2.0,5,3.25,8,5.5
MWSA1206S-R68,12.6,13.45,5.8,2.0,3.85,3.25,8,5.5
MWSA1206S-1R5,12.6,13.45,5.8,2.0,3.85,3.25,8,5.5
MWSA1206S-2R2,12.6,13.45,5.8,2.0,3.85,3.25,8,5.5
MWSA1206S-3R3,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-4R7,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-5R6,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-6R8,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-8R2,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-100,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-120,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-150,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-180,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-220,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-270,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-330,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-470,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-680,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-101,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-121,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1206S-151,12.6,13.45,5.8,2.0,5,3.25,8,5.5
MWSA1265S,12.6,13.45,6.5,2.0,5.0,3.25,8,5.5
MWSA1707S,17.15,17.15,6.7,2.5,12.0,3.5,11.2,12.8
MWSA2213S,22.0,23.5,12.6,5.0,19.0,5.75,12.5,19.6