Series,height,width,thickness,pad gap,pad x,pad y
SWPA252010S,2.5,2.0,1.0,0.80,0.85,2.0
SWPA252012S,2.5,2.0,1.2,0.80,0.85,2.0
SWPA3010S,3.0,3.0,1.0,1.5,0.8,2.7
SWPA3012S,3.0,3.0,1.2,1.5,0.8,2.7
SWPA3015S,3.0,3.0,1.5,1.5,0.8,2.7
SWPA4010S,4.0,4.0,1.0,1.9,1.1,3.7
SWPA4012S,4.0,4.0,1.2,1.9,1.1,3.7
SWPA4018S,4.0,4.0,1.8,1.9,1.1,3.7
SWPA4020S,4.0,4.0,2.0,1.9,1.1,3.7
SWPA4026S,4.0,4.0,2.6,1.9,1.1,3.7
SWPA4030S,4.0,4.0,3.0,1.9,1.1,3.7
SWPA5012S,5.0,5.0,1.2,2.1,1.5,4.4
SWPA5020S,5.0,5.0,2.0,2.3,1.4,4.2
SWPA5040S,5.0,5.0,4.0,2.3,1.4,4.2
SWPA6020S,6.0,6.0,2.0,2.8,1.7,5.7
SWPA6028S,6.0,6.0,2.8,2.8,1.7,5.7
SWPA6040S,6.0,6.0,4.0,2.8,1.7,5.7
SWPA6045S,6.0,6.0,4.5,2.8,1.7,5.7
SWPA8040S,8.0,8.0,4.2,3.8,2.2,7.5